age,job,marital,education,balance,housing,loan,contact,day,month,duration,campaign,pdays,y
40,4,1,3,2310,1,0,1,4,8,261,0,0,0
26,10,2,2,219,1,0,1,4,8,151,0,0,0
15,2,1,2,192,1,1,1,4,8,76,0,0,0
29,1,1,0,1694,1,0,1,4,8,92,0,0,0
15,5,2,0,191,0,0,1,4,8,198,0,0,0
17,4,1,3,421,1,0,1,4,8,139,0,0,0
10,4,2,3,637,1,1,1,4,8,217,0,0,0
24,2,0,3,192,1,0,1,4,8,380,0,0,0
40,6,1,1,311,1,0,1,4,8,50,0,0,0
25,10,2,2,783,1,0,1,4,8,55,0,0,0
23,0,0,2,460,1,0,1,4,8,222,0,0,0
11,0,2,2,580,1,0,1,4,8,137,0,0,0
35,10,1,2,196,1,0,1,4,8,517,0,0,0
40,10,1,0,261,1,0,1,4,8,71,0,0,0
39,8,1,2,352,1,0,1,4,8,174,0,0,0
33,6,1,1,419,1,0,1,4,8,353,0,0,0
27,0,2,0,203,1,0,1,4,8,98,0,0,0
39,1,1,1,242,1,0,1,4,8,38,0,0,0
42,6,1,1,250,1,0,1,4,8,219,0,0,0
15,8,1,2,190,1,0,1,4,8,54,0,0,0
10,1,1,2,913,1,1,1,4,8,262,0,0,0
38,4,1,3,969,1,0,1,4,8,164,0,0,0
14,1,2,1,213,1,1,1,4,8,160,0,0,0
7,8,1,2,240,1,0,1,4,8,342,0,0,0
22,6,1,1,190,1,1,1,4,8,181,0,0,0
21,4,2,3,445,1,0,1,4,8,296,0,0,0
34,2,1,2,303,1,1,1,4,8,127,0,0,0
18,10,2,2,455,1,1,1,4,8,348,0,0,0
39,10,1,2,1029,0,1,1,4,8,225,0,0,0
31,4,1,3,568,1,0,1,4,8,230,0,0,0
42,0,1,2,229,1,1,1,4,8,208,0,0,0
41,1,1,2,190,1,0,1,4,8,226,0,0,0
39,10,0,2,253,1,0,1,4,8,242,0,0,0
7,1,1,2,183,1,0,1,4,8,365,0,0,0
35,10,1,2,187,0,0,1,4,8,1418,0,0,0
18,0,0,2,696,1,0,1,4,8,577,0,0,0
19,0,2,2,190,1,0,1,4,8,137,0,0,0
26,8,0,2,2717,1,0,1,4,8,160,0,0,0
32,4,1,2,239,1,0,1,4,8,180,1,0,0
42,1,1,0,294,1,0,1,4,8,22,0,0,0
36,6,1,2,719,1,0,1,4,8,1354,0,0,0
40,6,1,0,286,1,0,1,4,8,616,0,0,0
18,0,2,1,19,1,0,1,4,8,242,0,0,0
26,10,1,2,190,1,0,1,4,8,225,1,0,0
37,10,0,2,190,0,0,1,4,8,160,0,0,0
11,4,2,3,190,1,0,1,4,8,363,0,0,0
36,1,1,2,1481,1,0,1,4,8,266,0,0,0
14,4,1,3,190,1,0,1,4,8,179,0,0,0
24,0,2,2,114,1,0,1,4,8,787,0,0,0
6,10,2,2,87,1,1,1,4,8,145,0,0,0
20,2,2,3,433,0,1,1,4,8,174,0,0,0
20,4,2,3,614,1,0,1,4,8,104,0,0,0
29,1,1,0,496,1,0,1,4,8,13,0,0,0
22,1,2,0,214,1,0,1,4,8,185,0,0,0
28,8,1,1,369,1,0,1,4,8,1442,0,0,0
14,0,1,3,190,1,0,1,4,8,138,0,0,0
35,10,0,2,1179,1,0,1,4,8,812,0,0,0
39,1,1,1,439,1,0,1,4,8,164,0,0,0
15,8,1,2,980,1,0,1,4,8,391,0,0,0
31,1,1,0,344,1,0,1,4,8,357,0,0,0
42,6,1,3,290,0,0,1,4,8,528,0,0,0
41,4,0,3,249,1,0,1,4,8,273,0,0,0
37,10,1,2,1395,1,0,1,4,8,158,1,0,0
13,8,1,2,215,1,1,1,4,8,172,0,0,0
36,4,1,2,472,1,1,1,4,8,154,0,0,0
37,1,1,1,213,1,0,1,4,8,291,0,0,0
25,10,1,2,2114,1,0,1,4,8,181,0,0,0
35,10,1,2,574,1,0,1,4,8,176,0,0,0
26,1,1,2,772,0,1,1,4,8,211,0,0,0
37,8,0,2,281,0,0,1,4,8,349,0,0,0
31,8,0,2,190,1,1,1,4,8,272,0,0,0
37,8,0,2,191,1,0,1,4,8,208,0,0,0
27,0,2,2,396,1,0,1,4,8,193,0,0,0
29,8,0,2,354,0,0,1,4,8,212,0,0,0
24,10,2,2,880,1,0,1,4,8,20,0,0,0
41,0,1,2,2497,1,0,1,4,8,1033,0,0,1
28,7,1,3,327,1,1,1,4,8,246,0,0,0
33,1,1,1,363,1,0,1,4,8,529,1,0,0
38,0,1,2,235,0,0,1,4,8,1340,0,0,1
23,10,1,2,1460,1,0,1,4,8,1298,0,0,1
28,4,0,2,206,1,1,1,4,8,188,1,0,0
39,6,1,2,676,1,0,1,4,8,180,1,0,0
24,4,2,2,240,0,0,1,4,8,48,0,0,0
12,10,1,2,342,1,1,1,4,8,213,1,0,0
42,0,1,2,480,1,0,1,4,8,583,0,0,0
42,1,1,0,244,1,0,1,4,8,221,0,0,0
39,2,0,2,153,0,0,1,4,8,173,0,0,0
18,4,1,3,291,1,1,1,4,8,426,0,0,0
37,1,1,2,573,0,0,1,4,8,287,0,0,0
